Job Title,Company,Location (Specific),Experience Required (Standardized),Combined Skills,Industry (Inferred),Job Type,Posted Date,Source Platform,Notes/Observations,
Trainee - Analyst,Acuity Knowledge Partners,Gurugram Haryana India,"Fresher (0 Years, Recent Graduate)","financial modeling, valuation, equity research, financial statement analysis, industry analysis, report writing, presentation creation, data analysis, quantitative analysis, strong communication skills (written and verbal), attention to detail, analytical mindset, ability to work under pressure and meet deadlines., ms excel, powerpoint, word, financial databases (bloomberg, thomson reuters eikon, capital iq).","Financial Services, Investment Research","Full-time, On-site",01-01-2025,Naukri.com,"This is a ""Trainee - Analyst"" position explicitly for ""Fresher with 0 year work experience (recent graduate)."" It's highly focused on financial research and analysis.",
Associate Consultant,Gartner,Gurugram Haryana India,Fresher (0-2 Years),"strong analytical skills, structured problem solving, quantitative reasoning, strong verbal and written communication, data analysis, data interpretation, presentation creation, ability to conduct research, critical thinking, build strong relationships with clients,peers, synthesize data, identify key takeaways, contribute to impactful recommendations., excel, powerpoint, data visualization tools (general).","IT Research and Advisory, Consulting","Full-time, Hybrid",08-01-2025,Naukri.com,"This role is for ""0-2 years of full-time work experience"" making it suitable for freshers. It's a consulting role focusing on data analysis problem-solving and client interaction in the IT sector.",
Business Analyst,IBM,Gurugram Haryana India,Fresher (0-2 Years),"problem solving, communication (written,verbal), teamwork, adaptability, analytical thinking, data analysis, requirements gathering, business process mapping., not explicitly mentioned (implies standard ba tools, ms office suite).","IT Services, Consulting","Full-time, On-site",08-01-2025,Naukri.com,"This role explicitly states ""0-2 years of experience"" making it a clear fresher opportunity for a Business Analyst.",
Data Analyst,Quardian,Gurugram Haryana India,"Fresher (No specific years mentioned, implies entry-level)","data extraction, data cleaning, data transformation, data modeling, data visualization, report generation, dashboard creation, interpreting complex datasets, identifying trends, translating data into actionable insights, communication skills, collaboration with stakeholders, attention to detail, problem-solving., sql, excel, power bi, tableau.","IT Services, Data & Analytics","Full-time, Hybrid",09-01-2025,LinkedIn,No specific years of experience are mentioned but the responsibilities align with an entry-level Data Analyst role likely suitable for freshers.,
Data Analyst,Genpact,Gurugram Haryana India,Fresher (0-2 Years),"data analysis, data visualization, data interpretation, report generation, dashboard creation, trend identification, root cause analysis, stakeholder communication, problem-solving, attention to detail, analytical skills., excel, powerpoint, data visualization tools (power bi, tableau).","Business Process Management (BPM), Consulting","Full-time, On-site",11-01-2025,LinkedIn,"This role states ""0-2 years of experience"" making it suitable for freshers. Focuses on data analysis reporting and visualization within a BPM environment.",
Data Analyst,Zeksta Technology,Gurugram Haryana India,Fresher (0-1 Year),"data analysis, data cleaning, data transformation, data visualization, report generation, dashboard creation, extracting insights, identifying trends, problem-solving, attention to detail, communication skills., excel, sql, power bi, tableau.","IT Services, Software Development","Full-time, On-site",04-01-2025,LinkedIn,"This role explicitly states ""0-1 Years of Experience"" making it a clear fresher opportunity for a Data Analyst. (Duplicate entry but included as per the new link provided).",
Trainee Consultant,Netradyne,Bengaluru Karnataka India,"Fresher (0 Years, Recent Graduate)","data analysis, statistical analysis, data interpretation, report writing, presentation skills, communication skills, problem-solving, analytical mindset, attention to detail, ability to work in a fast-paced environment, learn quickly., excel, powerpoint, statistical software (general).","Automotive, AI, IoT (Fleet Safety & Analytics)","Full-time, On-site",15-01-2025,LinkedIn,"This is a ""Trainee Consultant"" role for freshers. It focuses on data analysis and interpretation within the AI/IoT space for fleet safety.",
Junior Data Scientist,Genpact,Gurugram Haryana India,Fresher (0-2 Years),"machine learning algorithms, statistical modeling, data analysis, data interpretation, predictive modeling, problem solving, analytical thinking, communication skills (written and verbal), collaboration., python, r, sql, machine learning libraries (e.g., scikit-learn, tensorflow, pytorch).","Business Process Management (BPM), Consulting","Full-time, On-site",11-01-2025,LinkedIn,"This role states ""0-2 years of experience"" making it suitable for freshers interested in data science.",
Junior Data Scientist,Tata Consultancy Services,Bengaluru Karnataka India,Fresher (0-2 Years),"machine learning, deep learning, natural language processing (nlp), data analysis, data preprocessing, feature engineering, model training and evaluation, statistical modeling, algorithm development, problem solving, analytical thinking, communication skills., python, r, machine learning libraries (e.g., scikit-learn, tensorflow, keras, pytorch), nlp libraries (e.g., nltk, spacy).","IT Services, Consulting","Full-time, On-site",14-01-2025,LinkedIn,"This role states ""0-2 years of experience"" making it suitable for freshers in data science with a focus on ML DL and NLP.",
Associate Data Analyst,Capgemini,Bengaluru Karnataka India,Fresher (0-2 Years),"data analysis, data cleaning, data transformation, data visualization, report generation, dashboard creation, extracting insights, identifying trends, translating data into actionable recommendations, supporting business decisions, collaboration with stakeholders, understanding business requirements, data quality, problem-solving, attention to detail, communication skills., sql, excel, bi tools (tableau, power bi).","IT Services, Consulting","Full-time, On-site",15-01-2025,LinkedIn,"This role explicitly states ""0-2 years of experience"" for an ""Associate Data Analyst"" making it a clear fresher opportunity.",
Business Analyst,Acuity Knowledge Partners,Gurugram Haryana India,Fresher (0-1 Year),"business analysis, data analysis, market research, industry analysis, report writing, presentation creation, stakeholder communication, requirements gathering, analytical skills, problem-solving, attention to detail, financial modeling (implied if in financial services)., ms office suite (excel, powerpoint, word).","Financial Services, Investment Research","Full-time, On-site",16-01-2025,LinkedIn,"This role states ""0-1 year work experience"" making it a clear fresher opportunity for a Business Analyst likely in financial research.",
Junior Data Analyst,EY,Gurugram Haryana India,Fresher (0-2 Years),"data collection, data cleaning, data validation, data analysis, data interpretation, report generation, dashboard creation, identifying trends and patterns, supporting audit and consulting engagements, problem-solving, attention to detail, strong communication skills., excel, powerpoint, data visualization tools (tableau, power bi).","Consulting, Professional Services","Full-time, On-site",16-01-2025,LinkedIn,"This role explicitly states ""0-2 years of experience"" and is for a ""Junior Data Analyst"" at EY making it a clear fresher opportunity.",
Data Engineer,Ericsson,Gurugram Haryana India,Fresher (0-2 Years),"data pipeline development, etl processes, data warehousing, data modeling, database management, performance optimization, data quality assurance, troubleshooting data issues, collaboration with data scientists,analysts, understanding business requirements., sql, python, big data technologies (hadoop, spark), cloud platforms (azure, aws, gcp), etl tools.","Telecommunications, IT Services","Full-time, Hybrid",17-01-2025,LinkedIn,"This role explicitly states ""0-2 years of experience"" making it suitable for freshers in data engineering.",
Business Analyst (Fresher),Zensar Technologies,Pune Maharashtra India,Fresher (0 Years),"requirements gathering, business process analysis, functional documentation, stakeholder communication, solution design, testing support, analytical thinking, problem-solving, communication skills., not explicitly mentioned (implies standard ba tools).","IT Services, Consulting","Full-time, On-site",18-01-2025,LinkedIn,"This role is explicitly titled ""Business Analyst (Fresher)"" and states ""0 Years"" experience making it a definitive fresher opportunity.",
Junior Data Analyst,WNS Global Services,Gurugram Haryana India,Fresher (0-1 Year),"data collection, data cleaning, data validation, data analysis, data interpretation, report generation, dashboard creation, identifying trends, supporting business operations, problem-solving, attention to detail, communication skills., excel, sql, data visualization tools (power bi, tableau).","Business Process Management (BPM), Consulting","Full-time, On-site",18-01-2025,LinkedIn,"This role explicitly states ""0-1 year of experience"" for a ""Junior Data Analyst"" making it a clear fresher opportunity.",
Research Analyst (Fresher),Acuity Knowledge Partners,Gurugram Haryana India,Fresher (0 Years),"secondary research, primary research support, data collection, data analysis, market research, industry analysis, report writing, presentation creation, analytical skills, attention to detail, communication skills (written,  verbal), proficiency in ms office suite., ms office suite (excel, powerpoint, word).","Financial Services, Investment Research","Full-time, On-site",19-01-2025,LinkedIn,"This role is explicitly titled ""Research Analyst (Fresher)"" and implies 0 years experience making it a clear fresher opportunity.",
Market Research Analyst,Renascence Consulting,Gurugram Haryana India,Fresher (0-1 Year),"market research, data collection (primary,  secondary), data analysis, report writing, presentation making, competitor analysis, industry trend analysis, qualitative research, quantitative research, analytical skills, communication skills (written,  verbal), attention to detail, ms office suite proficiency., ms office suite (excel, powerpoint, word), survey tools (general).","Market Research, Consulting","Full-time, On-site",20-01-2025,LinkedIn,"This role states ""0-1 year of experience"" making it suitable for freshers in market research.",
Research Analyst,S&P Global,Gurugram Haryana India,Fresher (0-2 Years),"data collection (primary,  secondary), data analysis, market research, report writing, presentation making, industry analysis, financial data analysis, analytical skills, attention to detail, communication skills (written,  verbal), proficiency in ms office suite, basic understanding of financial markets., ms office suite (excel, powerpoint, word), financial databases (bloomberg, refinitiv, capital iq - if applicable).","Financial Services, Ratings, Research","Full-time, On-site",20-01-2025,LinkedIn,"This role states ""0-2 years of experience"" making it suitable for freshers in research likely with a focus on financial data.",
Survey Interns,Ken Research,Gurugram Haryana,Fresher,"assist in filling out and taking surveys, accurate responses to survey questions, consistency in responses, adhering to project protocols, record and input survey data into designated systems,platforms, provide feedback on survey design,challenges, collaborate with project team to resolve issues, support data validation, ensure survey responses are accurate and complete, adhere to confidentiality and privacy standards, strong attention to detail and accuracy, good communication skills (written and verbal), comfortable working with online survey tools and data entry systems, ability to follow instructions, work independently with minimal supervision, basic understanding of market research or data collection methods (plus but not required), data collection, research, market research, data interpretation, reporting, analytical thinking., online survey tools (e.g., google forms, surveymonkey), data entry systems.","Market Research, Consulting","Internship (Full-time, 2 Months)",17-01-2025,Indeed,"This is explicitly a ""Survey Intern"" role for freshers offering a 2-month full-time internship. The stipend is â‚¹3000 - â‚¹5000 per week plus a â‚¹5000 monthly travel allowance. Focuses on data collection survey completion and basic data entry in market research.",
Junior/Mid-level SQL Database Administrator (PostgreSQL Focus),apexanalytix,Gurugram Haryana,Fresher (0-5 Yrs),"postgresql database administration (installation, configuration, maintenance), database structure and application needs understanding, creation and management of database objects (schemas, tables, indexes, views, functions), database migrations (microsoft sql server to postgresql), using pgloader,custom scripts for migration, identifying incompatibilities, rewriting t-sql logic into pl,pgsql, postgresql replication (streaming, logical), ha technologies, pitr, base backup strategies, recovery testing, utilizing monitoring tools (e.g., pg_stat_activity, prometheus, pgadmin), performance metrics, database health, troubleshooting performance,availability issues, capacity planning (storage,performance trends), running and validating backups (pg_basebackup, pg_dump, pgbackrest), backup restore drills, rto,rpo understanding, postgresql query planning (explain (analyze), auto_explain), analyzing long-running queries, identifying missing indexes, managing postgresql roles,privileges, periodic access reviews, rbac, patching and postgresql version upgrades, tracking new postgresql releases, troubleshooting database-related incidents, escalating complex incidents, writing basic bash,sql,python scripts for automation (e.g., vacuum, backups, alerts, log parsing), documenting database configurations,procedures,sops, team collaboration, understanding of relational database concepts and pgsql, exposure to postgresql installation,  configuration, security, and basic tuning, problem-solving and analytical skills, strong verbal and written communication skills, ability to document processes and follow standard procedures, t-sql, scripting., postgresql, microsoft sql server, pgloader, pg_stat_activity, prometheus, pgadmin, pg_basebackup, pg_dump, pgbackrest, bash, python, powershell, kubernetes, helm, grafana.","IT Services, Software (Procure-to-Pay Solutions)",Full-time,17-01-2025,Indeed,Explicitly open to freshers with internship/project exposure in database management. Strong focus on PostgreSQL. Involves database migration HA/DR monitoring performance tuning and automation using scripting. Posted date is in the future.,
AnalystD&I Consumer Lab,Bain & Company,Gurugram Haryana India,Fresher (0-18 Months),"understand client needs (multiple contexts,geographies,industries), screen realistic solutions, recommend actionable solutions, conceptualize research, explore innovative solutions, drive client engagement, understand work plan, execute work plan (industry research, preparing presentations, data analysis, other initiatives), zero-defect analysis, structure communication of insights, deliver clear,professional presentations, stay up to date with consumer products industry trends, incorporate these insights into the insights creation process, seek and provide meaningful and actionable feedback in all interactions, recognize different skills and development needs in oneself and work towards it, an understanding (or experience) of consumer products with an insight into data, metrics and trends covered within this space is a good to have, experience with any of the following topics is a plus â€“ survey-based tools and analytics and developing intellectual property, curious and creative mindset, open to new things and able to propose innovative ideas, working collaboratively and effectively in a group dynamic often virtual, proficient in agile ways of working., microsoft excel, powerpoint, tableau, gen-ai-based tools (mention of venturing towards).",Management Consulting (Consumer Products Research & Analytics),"Full-time, Hybrid",14-06-2025,Indeed,"This is a highly sought-after fresher role at a prestigious consulting firm. It explicitly asks for ""0-18 months of relevant work experience."" The role involves data analysis market research and supporting client engagements within the consumer products sector. The work model is hybrid.",
Quantitative Analyst,Futures First,Gurugram Haryana India,Fresher (0-3 Years),"statistical arbitrage,  strategy development (pairs, mean-reversion, relative value strategies in fixed income), cointegration tests (engle-granger, johansen), kalman filters, machine learning techniques for signal generation, transaction cost analysis (tca), correlation,  volatility analysis (dynamic correlations between bonds,rates,macro variables using pca, copulas, rolling regressions), forecasting yield curve volatility (garch, stochastic volatility models, implied-vol surfaces for swaptions), identifying regime shifts, seasonality,  pattern recognition (calendar effects, liquidity patterns), time-series models (sarima, fourier transforms), back testing,  automation, p,l attribution, risk dashboards, real-time data feeds, strong grasp of probability theory, stochastic calculus (itoâ€™s lemma, sdes), time-series econometrics (arima, var, garch), linear algebra (pca, eigenvalue decomposition), numerical methods (monte carlo, pde solvers), optimization techniques, bayesian statistics, markov chain monte carlo (mcmc), supervised,unsupervised machine learning, yield curve modelling (nelson-siegel, svensson), duration,convexity, ois pricing, credit spreads, cds pricing, bond-cds basis arbitrage, var, cvar, stress testing, liquidity risk metrics, understanding of ccil, nds-om (indian market infrastructure), translate intuition,patterns into quant models, strong problem-solving, communication skills (explain complex models to non-quants), comfortable in a fast-paced work environment., python (backtrader, qlib, numpy, pandas, statsmodels, scikit-learn, arch), excel (vba, xlwings, power query, pivot tables, bloomberg excel functions - bdp, bdh), bloomberg,refinitiv apis, sql, dask, c++, java, quantlib, r.","Financial Services (Quantitative Trading, Derivatives)","Full-time, On-site",21-06-2025,Indeed,This is a highly specialized quantitative role explicitly for candidates with 0-3 years of experience. It requires a B.Tech degree and a deep understanding of financial mathematics statistics and programming. The work involves developing and implementing trading strategies in financial markets aligned with APAC market hours.,
AnalystCommercial Operations,NPS Prism (Bain & Company),Gurugram Haryana India,6-24 Months,"work on multiple parallel workstreams across nps prism instruments, create dynamic and engaging presentations, analyzing insights and prism data to bring the value of prism to life for our clients, undertake analytics on prism data for products across industries to guide the creation of insights for our clients, understand business objectives and ensure that they are being met by the current deliverables, provide research across industries to enable design of nps prism instruments, exceptional analytical skills, communication skills, problem solving skills, team player skills, ability to handle multiple tasks and work under pressure., microsoft excel, powerpoint, alteryx (plus), tableau (plus), sql (plus).","Customer Experience (CX) Benchmarking, Market Research, SaaS","Full-time, On-site",28-06-2025,Indeed,This role requires 6-24 months of relevant full-time work experience. It focuses on analyzing customer experience (CX) data creating presentations and supporting commercial operations within a SaaS and data business owned by Bain & Company. Proficiency in Excel and PowerPoint is essential with Alteryx Tableau and SQL being a plus.,
Market Associate - Power Market,Wood Mackenzie,Gurugram Haryana India,"Fresher, 0-1 Yr","strong background in analytics, growing expertise within the power industry, detail-oriented, intellectually curious, commercially savvy, comfortable presenting to clients, distilling complex,disparate ideas into simple,actionable analytics, operate models and support tools (spatial, data visualization, power flow applications), understanding,communicating current-day,next-day operational and financial risk, assisting asset optimization decisions, providing insights on longer-term congestion patterns,transmission upgrades,outages, manipulate large datasets, determine correlations and relationships between potential market drivers,prices,events, improve current processes by automating critical tasks, present research projects,presentations,memos,reports., python, visual basic, macros, spatial, data visualization, and power flow applications (general categories).","Energy, Utilities, Renewables (Data & Analytics)","Full-time, On-site",21-06-2025,Indeed,"This role explicitly states ""Nice to have 1+ years of business experience"" and asks for a Bachelor's degree in economics finance math stats or energy making it suitable for freshers. The focus is on North American power market fundamentals price forecasting and asset valuation requiring strong analytical skills and some programming for automation. The work model is on-site.",
Junior Capabilities & Insights Analyst - Risk & Resilience,McKinsey & Company,Gurugram Haryana India,Fresher (2025 Bachelor's Graduate),"delivering high-quality insights and analyses to address risk management challenges, leveraging proprietary and third-party databases, collecting,analyzing,synthesizing critical information, supporting development and maintenance of mckinseyâ€™s proprietary databases, collaborating with client service teams, identifying optimal solutions, internal problem solving to further develop and improve offerings, basic knowledge and interest in banking and insurance sector and risk related topics, strong problem solving and analytical skills, ability to multitask, work well individually and in team settings, strong analytics, handling multiple data sources, conducting preliminary analysis, generating reports, professional attitude, service orientation, willing to work in a highly demanding,results-oriented team environment, preferably based out of delhi,ncr, fluent written and verbal communication skills in english., ms office suite (excel, vba, word, powerpoint, access), python (added advantage), power bi (added advantage), tableau (added advantage), other data visualization tools (added advantage).",Management Consulting (Risk Management & Analytics),Full-time,21-06-2025,Indeed,"This is a highly sought-after ""Junior"" analyst role explicitly targeting 2025 Bachelor's degree graduates. It focuses on risk management insights and analysis for clients in banking insurance and industrial sectors involving extensive data handling preliminary analysis and reporting. Strong analytical skills and proficiency in MS Office Suite are essential with programming/BI tools being a plus.",
Product Analyst,Collegedunia,Gurugram Haryana India,Fresher,"define product vision and strategy, understand customer requirements (user research), create a road-map from conceptualization to release, evaluate market competition, position product line to appeal to user, analyze product performance post-launch, iterate on the same to keep improving the product experience (a,b testing), come up with a clear-cut business impact for every suggested feature, passion for data and an exceptional ability to solve complex problems, mindset that will constantly think about roi, business and revenue, design and run a,b tests to improve user journey and conversion of traffic to sales, appreciable know-how and experience in technology, good team player, work independently under minimal direction with a strong work ethic, established ability to work in cross-functional environments (working closely with sales, marketing, business management, customer support and engineering teams)., sql, excel, wireframing products (draw.io, adobe xd, balsamiq).","EdTech, FinTech, Digital Media (Product Management & Analytics)","Full-time, On-site",14-06-2025,Indeed,"This role focuses on product analytics with a strong emphasis on data-driven decision-making A/B testing and understanding user journeys. It does not explicitly state years of experience but the context of ""brilliant mind"" ""passion for data"" and other requirements suggests it's open to highly capable freshers. Collegedunia operates multiple product lines including education cashback and auto-related platforms.",
Remote Data Science Analyst,Turing,Gurugram Haryana India (Remote),Fresher (Equivalent Experience),"develop and optimize python-based data science solutions, conduct in-depth peer code reviews, provide constructive feedback, work closely with researchers and stakeholders, align solutions with project objectives,company goals, create well-documented python code, knowledge of python programming for data analysis, strong understanding of data science methodologies and analysis techniques, strong problem-solving and analytical skills, fluent in spoken and written english., python, jupyter notebooks.","IT Services, AI & Data Science (Remote Contracting)","Contract, Remote",02-07-2025,Indeed,This is a remote contractual role open to candidates with a Bachelorâ€™s/Masterâ€™s degree or equivalent experience making it suitable for freshers. It involves developing AI/data science solutions in Python conducting code reviews and collaborating on cutting-edge projects. Requires a minimum 5-hour work overlap with PST/PT. Offers competitive global-standard salary in USD.,
AnalystGlobal Analytics,Concentrix,Gurugram Haryana India (WFO),Fresher (No specific years mentioned; responsibilities imply early career),"collect, analyze, interpret, visualize and storytell workforce data, provide intelligent and actionable insights and recommendations, understand operational delivery data and kpis (cx, ex), assess current business performance through data analytics and validation, design data analysis models to mine enterprise systems,applications, apply contemporary improvement techniques (lean, six sigma, agile), synthesize data findings, articulate solutions to business problems, develop improvement recommendations, lead execution of initiatives, showcase and present findings to management, experience in workforce management (preferred but not mandatory), highly motivated and analytical, willing to relocate to gurgaon., google sheets, google slides, advanced excel, bi dashboards (tableau, looker, power bi), basic sql, vba.","Business Process Management (BPM), Customer Experience (CX) Services (Analytics)","Full-time, On-site",28-06-2025,Indeed,This role is for a data analyst focused on workforce and human resources data within Concentrix's Global Analytics team. While no specific years of experience are stated the responsibilities suggest it is suitable for freshers or early-career professionals with strong analytical and presentation skills. It is a Work From Office (WFO) role in Gurugram.,
Research Analyst - Clean Transportation Initiatives,Council on Energy| Environment and Water (CEEW),Delhi Delhi India,1+ Years (Master's Degree required),"developing strategic roadmaps and scenario-based approaches for sustainable mobility, employing data-driven approaches, conducting in-depth analyses of transportation data, identifying tactical and strategic interventions (travel demand management, shifts to public modes, active,non-motorized transport), quantification,measurement,modeling of vehicular emissions, detailed source apportionment of regulated pollutants and ghg inventorying, enhance efficiency and sustainability of urban mobility, analyses involving multiple complex data layers (public transit network, census, people,goods movement, road-safety, pollution, congestion, land-use, remote sensing data), state-of-the-art scientific methodologies and analytical tools, working with satellite data (modis, omi) and reanalysis data (merra, wustl), geoinformatics and geospatial analysis, air quality monitoring systems (maintain, collect,curate data, develop sops for mobile source emissions), support projects related to ev transition and sustainable mobility, collaborate with urban planners,policymakers,transportation departments, prepare comprehensive reports and policy briefs, engage with key stakeholders, strong quantitative, data analytics and applied econometrics skills, prior experience in vehicular pollution (global and local) characterization,apportionment,inventorying,impact assessment, demonstrated real-world,laboratory-based expertise in operation,maintenance of air pollution measuring devices, strong understanding of atmospheric conditions, emission control technologies, air pollution mitigation, strong research skills (literature review), excellent communication and interpersonal skills, willingness to work on multi-disciplinary projects, ability to think on your feet for solving complex problems in mobility, knowledge in developing,managing databases, creating user interfaces, web scraping, scripting for data manipulation, scientific programming and modeling experience, techno-economic assessments of alternative powertrains, vehicle stock and flow dynamics, traffic flow and travel demand modelling, fundamentals of ev technology, market diffusion trends, charging infrastructure, city,local to national policies., r, python, spss, stata, qgis, arcgis, power bi, tableau, ms excel, html, css, vba, java, matlab, simulink.","Think Tank, Environmental Research, Sustainable Mobility","Full-time, On-site",14-06-2025,Indeed,This role requires a Master's degree in a relevant technical field and 1+ years of experience. It focuses heavily on data-driven research modeling and policy analysis related to clean transportation vehicular emissions and sustainable mobility. Requires strong quantitative geospatial and programming skills. Female candidates are encouraged to apply.,
Data Analyst,BolsterBiz,Delhi India (Remote Hybrid Shift),"1+ Years (Data Entry, Data Analysis)","efficient and standardized data cleaning and quality process, classify merchant and product-level data (across all industry verticals), data classification work, building a holistic data quality management system, working efficiently on data classification assignments (categorize merchant and product data to correct channel, brand, category outputs), learning new features in clean-up tool, incorporating into workflow, conducting research on merchants,brands,categories (gain insight into classification accuracy), documenting,refining,sharing ideas on how to improve data hygiene process, meeting,exceeding deadlines, collaborating with variety of teams, strong attention to detail, ability to manage shifting priorities and assignments, understanding of the united states retail landscape (plus), proficient verbal and written communication skills, entrepreneurial spirit, positive attitude, creative approach., custom-built software tool, sql (plus), google sheets, google slides, microsoft excel, powerpoint, slack.","Data Management, Retail Analytics, IT Services","Full-time, Remote (Hybrid Shift)",05-04-2025,Indeed,This role focuses on data cleaning classification and quality management primarily for merchant and product data across retail. It's open to candidates with 1+ years of data entry or analysis experience making it suitable for freshers. The shift timing is hybrid requiring evening availability (IST) for meetings with a US-based team. SQL skills are a plus.,
